epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,401.18,0.77909,0.59833,0.94754,0.45598,0.77146,0.52408,0.38103,0.94921,1.61443,1.02514,0.000511769,0.000511769,0.000511769
72,406.921,0.77705,0.60256,0.94875,0.45896,0.74825,0.50215,0.36822,0.95259,1.46302,1.0408,0.000495266,0.000495266,0.000495266
73,412.59,0.77386,0.57181,0.94428,0.49934,0.61989,0.5228,0.38032,0.95878,1.39936,1.04613,0.000478762,0.000478762,0.000478762
74,417.891,0.78228,0.56823,0.95082,0.46385,0.76396,0.55178,0.39318,0.96517,1.55238,1.03414,0.000462259,0.000462259,0.000462259
75,423.485,0.75644,0.58262,0.93616,0.476,0.76743,0.56466,0.40669,0.96427,1.3524,1.01119,0.000445756,0.000445756,0.000445756
76,429.167,0.77233,0.58276,0.94563,0.42083,0.7672,0.52264,0.37269,0.95702,1.6761,1.02921,0.000429253,0.000429253,0.000429253
77,434.893,0.76137,0.56649,0.93622,0.4527,0.77071,0.50462,0.35623,0.95549,1.67023,1.03449,0.000412749,0.000412749,0.000412749
78,440.747,0.73033,0.54421,0.9211,0.47366,0.73175,0.5381,0.38255,0.98139,1.74217,1.05929,0.000396246,0.000396246,0.000396246
79,446.419,0.75157,0.56005,0.93604,0.4458,0.73298,0.51629,0.36306,0.9518,1.77238,1.0477,0.000379743,0.000379743,0.000379743
80,452.219,0.7538,0.54589,0.92924,0.44758,0.74443,0.50446,0.35501,0.97149,1.89911,1.0655,0.000363239,0.000363239,0.000363239
81,457.972,0.73194,0.54665,0.93883,0.47075,0.7186,0.53047,0.382,0.95561,1.64514,1.04884,0.000346736,0.000346736,0.000346736
82,463.699,0.74778,0.53817,0.93456,0.40527,0.73548,0.46237,0.33488,0.93917,1.88105,1.03401,0.000330233,0.000330233,0.000330233
83,469.528,0.76336,0.54425,0.94123,0.44525,0.71871,0.52072,0.37262,0.94388,1.89349,1.03315,0.000313729,0.000313729,0.000313729
84,475.161,0.74506,0.52135,0.93259,0.48199,0.6985,0.55691,0.40532,0.92797,1.56018,1.02141,0.000297226,0.000297226,0.000297226
85,480.398,0.7355,0.51928,0.9257,0.44472,0.71249,0.53003,0.38873,0.90266,1.6598,1.00532,0.000280723,0.000280723,0.000280723
86,485.796,0.72351,0.50715,0.9256,0.50116,0.70511,0.57556,0.41782,0.9277,1.43495,1.01211,0.00026422,0.00026422,0.00026422
87,491.634,0.71681,0.50507,0.92963,0.33126,0.93331,0.46776,0.33369,0.95936,2.10981,1.04255,0.000247716,0.000247716,0.000247716
88,497.376,0.73304,0.49777,0.92316,0.43961,0.74533,0.53112,0.38094,0.96569,1.78423,1.03972,0.000231213,0.000231213,0.000231213
89,503.038,0.70108,0.47328,0.9154,0.43952,0.73896,0.5009,0.36237,0.94068,1.59018,1.01442,0.00021471,0.00021471,0.00021471
90,508.723,0.70097,0.48405,0.9135,0.46195,0.73269,0.52827,0.3853,0.92928,1.53616,1.01356,0.000198206,0.000198206,0.000198206
91,515.36,0.6403,0.4109,0.88333,0.44229,0.74373,0.50171,0.36281,0.94607,1.79162,1.02533,0.000181703,0.000181703,0.000181703
92,521.067,0.64161,0.41769,0.88167,0.45093,0.7131,0.52653,0.38409,0.9364,1.67608,1.03006,0.0001652,0.0001652,0.0001652
93,526.899,0.62588,0.37993,0.88153,0.4417,0.70289,0.51058,0.36422,0.94735,1.87793,1.03191,0.000148696,0.000148696,0.000148696
94,532.572,0.63162,0.39285,0.88557,0.45206,0.68753,0.49944,0.36327,0.95115,1.987,1.02479,0.000132193,0.000132193,0.000132193
95,538.179,0.61787,0.35892,0.87819,0.47774,0.70175,0.53622,0.38813,0.93941,1.63565,1.01957,0.00011569,0.00011569,0.00011569
96,543.803,0.61243,0.36211,0.87622,0.44586,0.70277,0.51529,0.37356,0.9521,1.83961,1.03067,9.91865e-05,9.91865e-05,9.91865e-05
97,549.492,0.60547,0.35237,0.87582,0.44305,0.71925,0.52651,0.38339,0.94842,1.78385,1.03542,8.26832e-05,8.26832e-05,8.26832e-05
98,555.203,0.60507,0.35311,0.87134,0.44566,0.67029,0.51272,0.37125,0.95157,1.91361,1.03094,6.61799e-05,6.61799e-05,6.61799e-05
99,560.926,0.5947,0.3463,0.86929,0.44882,0.6752,0.48937,0.35756,0.95683,1.98874,1.03122,4.96766e-05,4.96766e-05,4.96766e-05
100,566.702,0.59543,0.34005,0.86942,0.44564,0.67678,0.50494,0.36445,0.951,1.95225,1.02599,3.31733e-05,3.31733e-05,3.31733e-05
